generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
31,5147,2075,2070,2047,7,1,1959,3,2031,4,2063,4120,8,4,2,1092,12384
27,2006,4,1977,992,2,0,2,2,2007,0,1960,3,1,995,6,994,4986
25,1936,2916,3872,1954,2,1,983,1951,1917,981,1949,1,961,0,2,4,13604
32,1017,3977,1004,2003,2,2,2000,2,1001,4,1999,2,2,2,5,1,11980
30,979,989,1944,1995,2,1,4,1,997,1933,1,15,0,2004,0,1,7855
28,2001,10,2000,1006,6,5,4,3,1991,4,1989,3,5,999,1,1003,5021
32,5320,2040,2080,2102,4,2,1750,5,2039,5,2080,4326,1,2,5,1230,12635
31,1018,1024,2020,2043,3,4,1,5,1032,2004,1,5,0,2038,3,4,8110
26,2044,3021,4052,2013,5,5,1001,2002,2013,1002,2038,3,1016,2,3,0,14170
33,1015,3909,1008,1940,1,5,1951,1,1003,3,1989,3,4,4,3,3,11774
29,1998,4,1996,1000,6,0,2,0,2005,2,1998,3,0,996,2,984,4998
33,6559,2224,2496,2234,2,4,1528,2,2231,2,2585,5239,4,1,3,1695,14730
32,999,1003,1990,1993,9,3,3,5,1005,1991,3,3,0,1989,2,3,7954
34,1004,3939,999,2016,1,0,1988,1,993,0,2018,3,2,2,3,4,11901
30,2027,4,2015,1031,0,4,1,4,2011,1,1993,5,3,1027,3,1021,5081
27,1977,2928,3951,1977,1,2,950,1972,1989,955,1978,1,1012,1,0,1,13804
34,7720,2321,2914,2371,2,3,1291,0,2404,3,3096,6066,2,2,1,2188,16594
33,1000,1013,1991,1996,3,3,2,1,974,1989,2,3,2,2018,4,1,7998
35,1003,3894,1025,1918,1,1,1924,2,1025,3,1969,3,4,3,0,0,11745
31,2017,4,1960,1001,2,2,4,2,2019,3,1959,2,3,999,4,981,4984
35,8215,2423,3090,2251,3,3,1264,5,2224,2,3388,6554,4,3,5,2221,17282
28,1958,2944,3904,1944,2,1,993,1943,1964,978,1943,2,1003,1,0,3,13667
34,1030,1019,2039,2048,5,5,3,4,1042,2030,4,2,3,2008,4,5,8157
36,1008,3901,995,1973,0,0,1990,3,991,1,1992,6,1,5,4,0,11761
32,1993,4,2011,1011,2,4,1,1,1987,4,2019,2,2,1007,4,982,5023
35,987,975,2003,1958,1,1,2,0,990,2000,0,3,1,1926,0,0,7922
36,8689,2495,3440,2095,3,3,1675,2,2094,5,3777,6822,2,5,5,2133,17912
37,993,3884,982,1947,5,4,1970,1,981,3,1958,1,6,2,1,3,11677
29,1974,2921,3982,1967,1,1,969,1975,1956,973,2012,3,990,6,3,2,13797
33,2008,12,2007,1010,6,0,3,2,2018,2,1994,2,4,1004,4,995,5040
36,974,986,1982,1938,1,0,1,1,987,1987,1,2,1,1916,0,2,7861
37,8924,2538,3596,2027,8,1,2114,0,1993,0,3805,6941,1,1,8,2052,18246
38,995,3967,1005,2010,6,5,1982,2,1010,2,1990,3,2,2,3,1,11946
37,988,992,1971,2005,3,2,1,1,1018,1960,2,0,2,1985,1,2,7935
30,1996,3001,4049,2001,3,2,1020,1988,1971,1019,2024,2,1003,1,1,3,14057
34,1974,7,1992,972,1,2,0,2,1973,2,1988,3,0,966,2,1005,4946
39,997,3962,985,2017,1,3,2010,5,988,3,1984,2,2,3,2,2,11917
38,9820,2564,3834,2072,3,0,2425,5,2084,8,3991,7472,5,8,7,2126,19446
38,1024,1014,2013,2040,0,3,3,1,1007,2004,1,1,2,2053,2,2,8103
35,1974,5,1975,1006,1,1,2,0,1985,0,1969,1,3,1010,2,985,4961
31,1998,2963,3986,2016,0,1,978,2020,1998,983,2007,1,1011,0,3,1,13923
40,1011,3971,1016,1990,3,2,1979,2,1017,2,2006,4,1,1,2,1,11956
39,1037,1051,2012,2026,2,2,2,3,975,2017,3,2,2,2087,3,3,8151
39,9555,2393,3693,2025,1,4,2312,2,2001,5,3804,7333,4,2,3,2058,18803
36,2044,14,2004,1025,5,6,5,2,2058,5,1993,2,7,1024,4,971,5092
32,2038,2983,4021,2050,11,4,989,2031,2041,983,2007,4,1034,7,3,6,14064
41,998,3974,985,2004,1,6,2007,1,982,0,1987,0,0,2,3,4,11929
40,981,951,1966,1935,3,4,2,3,989,1974,3,3,2,1887,0,3,7793
37,2005,6,2012,1012,2,3,1,2,2005,3,2025,2,2,993,2,992,5038
40,9497,2294,3675,2004,2,2,2217,3,1978,0,3774,7257,1,0,5,2107,18594
41,1012,1025,1999,2040,5,3,5,1,1028,2001,1,2,4,2026,5,2,8069
42,1027,4068,1025,2027,3,5,2031,3,1009,5,2030,1,4,2,4,3,12194
33,1991,2953,3974,1983,7,6,956,1995,1988,954,1997,5,994,1,1,8,13890
38,2001,3,1967,1001,2,2,6,5,1992,3,1975,5,3,995,3,981,4972
41,9077,2084,3378,1979,2,7,2000,3,1923,0,3501,6877,1,2,3,2089,17628
42,979,985,1954,1954,7,0,8,4,946,1956,6,4,5,1977,3,2,7826
43,975,3890,973,1990,1,0,1997,0,977,2,1955,1,0,4,1,5,11713
34,1989,2946,3985,1999,2,3,966,1991,2009,972,1989,3,1012,3,0,2,13886
43,997,996,2001,1972,1,4,0,2,997,2001,0,1,1,1961,0,1,7963
39,1988,9,1985,1019,3,2,7,3,1985,6,1991,5,2,1001,5,988,5004
42,9513,2064,3628,2020,3,3,2076,2,2030,5,3861,6881,4,2,6,2232,18345
44,1010,4014,1025,1988,1,0,1991,0,1031,0,2003,0,2,3,1,1,12041
