Municipality,Coordinates,x,y
Loulé,"(37.1379187, -8.020216)",37.1379187,-8.020216
Monchique,"(37.3188654, -8.556217199999999)",37.3188654,-8.5562172
Olhão,"(37.0260416, -7.8423509)",37.0260416,-7.8423509
Portimão,"(37.13617, -8.5376926)",37.13617,-8.5376926
São Brás de Alportel,"(37.152576, -7.889052299999999)",37.152576,-7.8890523
Silves,"(37.1889976, -8.4412051)",37.1889976,-8.4412051
Tavira,"(37.1335906, -7.643001899999999)",37.1335906,-7.6430019
Vila do Bispo,"(37.0829726, -8.9091832)",37.0829726,-8.9091832
Vila Real de Santo António,"(37.1937172, -7.4209255)",37.1937172,-7.4209255
Vila do Porto,"(36.9568037, -25.1412316)",36.9568037,-25.1412316
Lagoa [R.A.A.],"(37.7451046, -25.5720746)",37.7451046,-25.5720746
Nordeste,"(37.8322686, -25.145931)",37.8322686,-25.145931
Ponta Delgada,"(37.7428301, -25.6805868)",37.7428301,-25.6805868
Povoação,"(37.7486524, -25.2390903)",37.7486524,-25.2390903
Ribeira Grande,"(37.8210369, -25.5148137)",37.8210369,-25.5148137
Vila Franca do Campo,"(37.7157269, -25.4345063)",37.7157269,-25.4345063
Angra do Heroísmo,"(38.6635375, -27.2293969)",38.6635375,-27.2293969
Vila da Praia da Vitória,"(38.7339162, -27.0646976)",38.7339162,-27.0646976
Santa Cruz da Graciosa,"(39.0862753, -28.0156811)",39.0862753,-28.0156811
Calheta [R.A.A.],"(38.60204969999999, -28.0193407)",38.6020497,-28.0193407
Velas,"(38.6839843, -28.2131879)",38.6839843,-28.2131879
Lajes do Pico,"(38.39976770000001, -28.2519641)",38.3997677,-28.2519641
Madalena,"(38.5298862, -28.5185092)",38.5298862,-28.5185092
São Roque do Pico,"(38.5160544, -28.3140488)",38.5160544,-28.3140488
Horta,"(38.5348447, -28.6299812)",38.5348447,-28.6299812
Lajes das Flores,"(39.3782624, -31.1781975)",39.3782624,-31.1781975
Santa Cruz das Flores,"(39.4582827, -31.1338071)",39.4582827,-31.1338071
Corvo,"(39.7023111, -31.1080244)",39.7023111,-31.1080244
Calheta [R.A.M.],"(32.7379818, -17.180948)",32.7379818,-17.180948
Câmara de Lobos,"(32.6610892, -16.9860384)",32.6610892,-16.9860384
Funchal,"(32.6669328, -16.9240554)",32.6669328,-16.9240554
Machico,"(32.7318412, -16.791291)",32.7318412,-16.791291
Ponta do Sol,"(32.6854883, -17.0864266)",32.6854883,-17.0864266
Porto Moniz,"(32.8666844, -17.1706079)",32.8666844,-17.1706079
Ribeira Brava,"(32.6739884, -17.0509906)",32.6739884,-17.0509906
Santa Cruz,"(39.1340863, -9.3814444)",39.1340863,-9.3814444
Santana,"(32.8018761, -16.879792)",32.8018761,-16.879792
São Vicente,"(32.8040637, -17.0470138)",32.8040637,-17.0470138
Porto Santo,"(33.0759749, -16.3346061)",33.0759749,-16.3346061
