generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
45,2040,3051,4074,2054,1,1,1000,2038,2052,1006,2035,3,1040,3,4,2,14253
37,1003,5857,992,1956,6,4,3,1,989,2,2965,1,5,989,1,2,15648
47,8485,2006,3087,2039,2,3,2013,2,2044,2,4122,5351,4,4,3,2062,16622
45,2036,3,2026,1035,0,1,0,1,2027,3,2018,4,3,1029,2,1011,5101
46,1948,2940,3912,1984,2,1,974,2001,1949,966,1986,2,961,3,3,4,13716
46,1992,7,1970,986,2,1,5,4,1985,6,1980,1,2,984,1,982,4957
38,990,6037,1001,1988,6,4,2,2,1007,2,2953,3,2,992,4,1,16054
48,8196,2020,3016,2031,4,4,1976,3,2030,4,4116,5089,5,5,3,2004,16283
47,1980,2986,3993,1983,3,4,987,1984,1962,996,2007,3,978,2,1,2,13955
47,2029,3,2009,1022,1,1,0,2,2028,4,2010,3,3,1022,0,987,5065
39,993,6012,984,2018,1,4,1,5,989,4,2979,1,2,1008,2,2,16016
49,7785,1984,2914,1950,2,3,1937,5,1912,2,4134,4697,2,3,4,1923,15642
48,2025,1,1994,1024,1,2,2,1,2021,2,1997,3,6,1019,1,987,5046
48,2000,3002,4000,2003,6,3,1001,1986,2010,1004,1987,2,1021,1,1,5,13983
40,1006,5998,1016,1970,3,2,4,1,1014,1,2980,4,1,983,2,1,15984
49,2013,8,1997,1011,2,2,4,4,2014,6,1973,4,2,1011,2,1002,5032
49,1967,2942,3929,1945,2,1,981,1948,1930,989,1989,2,971,5,6,1,13741
41,1006,5997,1006,1996,1,6,3,1,1002,0,3009,0,1,974,3,3,16007
42,1020,6186,1019,2025,3,5,4,4,1005,5,3022,1,4,1024,4,3,16416
43,979,5869,986,1982,0,0,2,1,988,2,2965,2,1,1000,1,6,15664
44,1008,6095,1014,1983,1,0,0,1,1017,1,2990,0,2,995,1,1,16191
45,1001,6093,1009,1997,1,3,1,0,1005,2,2999,1,0,995,0,0,16193
46,998,5835,993,1945,5,2,0,1,998,3,2937,4,1,981,3,5,15602
47,996,5906,1004,1966,0,2,0,1,998,1,2965,4,1,987,2,3,15780
48,1000,5921,1008,1980,7,7,3,7,1001,1,2964,12,5,979,6,3,15823
49,1004,6036,1013,1999,0,2,1,4,1009,3,2997,4,5,976,1,1,16101
