generation,add,sub,mul,div,Ageing index,Population density,migrants_Males,labour productivity,x,y,unemp_45 - 54,higher_female,no_male,avg_wage,Capital revenue,PPD/PSD,constant
30,1998,1012,1011,2959,5,0,1,2,2967,3,1007,1007,3,2,3,1968,7992
38,1024,1015,2013,2041,0,3,4,0,1007,2003,2,1,2,2055,2,2,8105
23,2159,3050,4092,2189,5,5,996,2119,2067,1063,2083,2,1017,3,1,0,14619
40,2041,5,2011,1001,2,2,4,1,2038,3,2009,1,1,999,2,994,5060
29,5172,3236,5461,4658,3,12,5619,4,3264,3,7362,1009,0,0,3,1,20774
31,2022,1027,1002,2982,7,1,2,2,2990,4,991,1022,8,4,3,1985,8047
39,1037,1053,2012,2024,2,3,2,3,974,2017,2,3,2,2087,3,3,8151
24,2051,2956,3982,2121,3,2,952,2098,2073,975,1998,2,1007,3,4,4,14099
41,2059,6,2028,1023,2,4,4,0,2054,4,2024,2,1,1024,2,993,5118
30,4715,3072,5422,4261,2,2,5148,1,3354,1,6884,1000,1,3,4,3,19537
40,982,952,1964,1935,5,2,2,3,989,1974,3,3,2,1887,0,3,7793
25,1938,2917,3876,1956,3,1,982,1953,1918,982,1951,1,961,0,2,5,13615
32,2005,975,969,2981,3,1,4,5,2962,5,957,975,1,3,6,2026,7912
42,2002,9,2005,985,3,4,7,1,1997,5,2002,5,1,984,1,987,5005
41,1012,1025,1999,2040,4,4,5,1,1028,2001,1,2,4,2026,5,2,8069
31,4289,3017,5245,4093,6,2,4943,8,3317,1,6325,1029,1,0,1,3,18652
26,2044,3021,4052,2013,5,6,1001,2001,2013,1002,2038,2,1016,3,3,0,14170
43,1983,3,1992,1011,2,2,1,1,1991,1,1976,2,2,1017,0,993,4990
33,2027,1042,998,3010,5,3,2,2,2988,2,990,1037,3,1,4,2005,8112
42,980,984,1954,1954,7,0,8,4,946,1956,6,4,5,1977,3,2,7826
27,1977,2928,3951,1977,1,2,950,1972,1989,955,1978,1,1012,1,0,1,13804
32,4231,3079,5302,3968,7,4,4809,5,3426,6,6235,1014,3,2,4,1,18644
44,2018,6,2023,1014,4,2,5,2,2010,2,2010,4,3,1001,1,1014,5064
43,997,996,2001,1972,1,3,1,2,997,2001,0,1,1,1961,0,1,7963
34,2026,994,1016,3008,1,1,3,0,3019,1,1018,996,1,2,1,2004,8041
28,1958,2944,3904,1944,2,0,995,1942,1964,978,1944,1,1003,2,0,2,13667
44,1025,1027,2028,2015,4,4,7,6,1005,2007,11,7,7,2010,4,5,8113
45,2036,3,2026,1035,0,1,0,1,2027,4,2017,4,3,1029,2,1011,5101
33,4450,3155,5514,4099,1,7,4976,1,3565,3,6518,1054,6,4,2,3,19296
35,1952,962,979,2894,4,2,3,5,2908,4,976,973,3,4,4,1942,7746
29,1974,2921,3982,1967,1,1,969,1974,1956,974,2012,3,990,6,3,2,13797
45,1006,1029,2020,2046,1,0,3,3,1017,2000,2,2,1,2047,3,0,8123
46,1992,7,1970,986,2,1,5,4,1985,6,1980,1,2,984,2,981,4957
34,5271,3385,5984,4909,0,0,5916,1,3850,1,7386,1249,2,3,8,3,21679
30,1996,3001,4049,2001,3,2,1020,1988,1971,1018,2024,3,1003,1,1,3,14057
36,1978,1014,1002,2978,4,2,2,3,2961,7,994,1011,1,5,6,1963,7985
46,1023,1011,1996,2016,6,2,4,3,1007,2005,7,4,5,1991,9,8,8041
47,2029,3,2009,1022,1,1,0,3,2028,3,2010,4,2,1022,0,987,5065
31,1999,2962,3986,2016,0,0,980,2019,1998,984,2007,0,1012,1,2,0,13923
47,987,1007,1995,1988,2,4,2,0,980,1998,2,2,3,1999,3,3,7956
37,1930,961,986,2884,1,2,2,0,2912,0,989,958,2,1,0,1928,7727
35,6625,3680,6781,5846,1,2,7037,2,4434,7,8600,1585,6,2,0,0,25188
48,2025,1,1994,1024,1,2,2,1,2021,1,1999,3,5,1019,1,987,5046
48,1014,1009,1990,1997,2,5,5,4,1003,1978,4,7,3,2007,4,4,7994
32,2038,2983,4021,2050,12,4,988,2031,2041,983,2007,4,1033,8,3,6,14064
38,2035,1022,1024,3033,2,0,5,6,3024,6,1011,1015,5,6,6,2007,8135
49,2013,10,1995,1011,2,2,5,3,2014,6,1973,4,2,1011,2,1002,5032
49,996,1013,1979,1980,4,2,2,5,963,1987,0,2,3,2017,2,0,7949
33,1992,2952,3973,1984,7,6,956,1995,1987,955,1997,5,994,1,1,8,13890
36,8145,4029,7755,7028,1,0,8396,3,5099,4,10136,1942,7,6,5,0,29315
39,1976,995,979,2942,2,3,6,2,2941,6,975,997,3,1,1,1965,7882
34,1989,2945,3984,2000,2,3,966,1990,2010,972,1989,3,1011,4,0,2,13884
40,1976,1006,995,2937,1,1,2,4,2958,0,993,993,1,0,0,1957,7918
37,8949,4228,8202,7641,6,5,9065,2,5420,7,10987,2155,6,3,2,2,31380
35,1953,2939,3894,1874,2,0,999,1884,1895,1007,1956,2,966,3,2,2,13602
41,1941,977,950,2924,0,6,1,2,2925,0,944,970,1,3,3,1970,7759
36,1999,2996,4013,1983,4,2,999,1985,1993,997,2010,2,1016,4,0,3,13967
42,1998,986,1031,3009,2,3,5,1,3020,6,1027,977,6,1,4,1993,8003
38,8852,4348,8103,7795,21,5,9290,2,5283,5,10849,2292,17,3,6,1,31422
37,1929,2877,3861,1916,2,2,967,1938,1922,966,1942,6,958,5,0,1,13457
43,2033,1008,997,3019,0,0,0,1,3017,2,999,1002,2,0,0,2021,8070
38,2063,3077,4133,2065,0,0,1029,2045,2026,1022,2077,0,1022,0,0,0,14455
44,1987,987,998,2949,1,1,5,5,2959,2,991,980,10,2,3,1978,7905
39,7801,4565,7366,7184,46,6,8434,5,4821,5,9820,2158,49,3,3,7,29475
39,1971,2920,3956,1912,2,2,982,1931,1950,985,1966,2,995,1,3,1,13698
45,1980,990,992,2946,5,4,1,2,2955,3,992,983,5,0,4,1969,7893
40,1998,3001,3998,1950,5,6,1026,1929,1939,1019,2009,7,993,4,4,3,13950
46,2053,1059,1022,3049,6,1,2,2,3021,0,1019,1061,3,6,1,2004,8240
40,6903,4915,6495,6867,31,5,7985,3,4270,2,8854,2096,24,2,5,2,28081
41,1944,2925,3903,1959,2,2,989,1967,1933,992,1973,1,954,1,4,4,13640
47,2051,1020,1012,3080,17,3,2,2,3030,2,988,1028,21,18,3,2045,8167
